category,item_name,description,price
CHICKEN,Crispy Chicken,Classic Filipino-style fried chicken with crispy skin and juicy meat,105
CHICKEN,Buttered Chicken,Tender chicken pieces tossed in rich butter garlic sauce,110
CHICKEN,Spicy Chicken,Crispy fried chicken with a spicy coating,115
CHICKEN,Sweet & Sour Chicken,Crispy chicken pieces in tangy sweet and sour sauce with bell peppers,115
CHICKEN,Chili Chicken,Stir-fried chicken in spicy chili sauce with vegetables,115
CHICKEN,Fried Chicken (HALF),Half portion of traditional Filipino-style fried chicken,225
CHICKEN,Hongkong Chicken (HALF),Half portion of Cantonese-style roasted chicken,235
CHICKEN,Soy Chicken (HALF),Half portion of chicken marinated and cooked in soy sauce,225
BEEF,Beef Ampalaya,Tender beef slices stir-fried with bitter gourd in garlic sauce,115
BEEF,Beef Broccoli,Stir-fried beef slices with fresh broccoli in oyster sauce,115
BEEF,Beef Curry,Filipino-style beef curry with potatoes and carrots in coconut milk,115
BEEF,Beef Mushroom,Tender beef slices with mushrooms in savory sauce,115
BEEF,Beef Steak,Filipino-style bistek with onions in soy-calamansi sauce,115
BEEF,Beef Young Corn,Stir-fried beef with young corn kernels in savory sauce,115
PORK,Chili Pork,Spicy stir-fried pork with chili sauce and vegetables,120
PORK,Lechong Kawali,Crispy deep-fried pork belly,120
PORK,Pork Steak,Filipino-style pork steak with onions in soy-calamansi sauce,120
PORK,Sinigang na Baboy,Sour tamarind-based soup with pork and vegetables,120
PORK,Pork Mushroom,Tender pork slices with mushrooms in savory sauce,125
PORK,Sweet & Sour Pork,Crispy pork in sweet and sour sauce with pineapple and bell peppers,125
PORK,Lumpiang Shanghai,Filipino-style spring rolls filled with ground pork,125
PORK,Salt & Peper Spareribs,Crispy pork spareribs seasoned with salt and pepper,125
PORK,Sisig,Chopped pork face and belly seasoned with calamansi and chili,125
PORK,Spareribs in Tausi Sauce,Pork spareribs in fermented black bean sauce,130
PORK,Lechong Kawali with Tausi & Tofu,Crispy pork belly with fermented black beans and tofu,135
PORK,Patatim (HALF),Braised pork pata in sweet soy sauce with mushrooms,300
SHRIMP,Crispy Shrimp,Breaded and deep-fried shrimp,105
SHRIMP,Camaroon Rebusado,Battered and fried shrimp,110
SHRIMP,Sinigang na Hipon,Sour tamarind-based soup with shrimp and vegetables,110
SHRIMP,Chili Shrimp,Stir-fried shrimp in spicy chili sauce,115
SHRIMP,Halabos,Shrimp cooked in garlic and butter,115
SHRIMP,Shrimp with Salt & Pepper,Salt and pepper seasoned crispy shrimp,115
SHRIMP,Shrimp Broccoli,Stir-fried shrimp with broccoli in garlic sauce,120
SHRIMP,Shrimp Mixed Vegetables,Stir-fried shrimp with assorted vegetables,120
SHRIMP,Shrimp Mushroom,Shrimp and mushrooms in savory sauce,120
SQUID,Calamares,Breaded and deep-fried squid rings,110
